contract	network	implementation	cid
core	dev	0x79ad76dad45543763704ef8a344b7021080b6abf	QmaEDbRCt5ikbdJv6MA9bV2i6gthvVohYbaBBpLKCwjaCh
core	prod	0x7e12cb515361e1fd2adac92018e70ac76019b07d	QmfVWsJf5esxYD8oBK4tCCajrtWzijG6q4hm5HAkN1vSMY
character	dev	0xaf7d7d1f4dc85e4bebb04e44caa9bf924a6c6c71	QmTpxcsjMBzqqae4BXuGjKJuEzJ6jc8hUZu5iDWPvAVWgW
character	prod	0x3d833ffb8a19dda5e44fc34d5ab666fa24c6e9e6	QmUJG6EpDfenrcVa6cSy51vdLVsWeunDyUmrHsuTjBPnBz
market	dev	0xcc5f4a1f616bbeb8537b8e77bffd25eb556c3a92	QmfUuhWhFqovMAEmzNtx9KHqJYRNCaEG4w5L1w42VPuS2t
market	prod	0x3c72e11bd64bf0e2c0344b92a243bb9ca7e229aa	QmdBHYhVMXfjk2TfBGdcTkyVh6iBwx61fiSyTU9VNEKk7q
oracle	dev	0x7833058027bb507c46e03934e448c7934130a1ef	QmVTxh4qAJhJorF6WrpPXKJQ1M6WZGBUbHpVPccc5BPnN9
oracle	prod	0x247e23bace48bba978466675e663afaad082cb69	QmWbNk8N3kTzQi6QXEQEzNPfB84Rr7Wa2KQkj3nvNuFFMp
